name,url,image,latitude,longitude,accessibility
Jezírko,https://www.kafelanka.cz/mista/kasna.php,https://www.kafelanka.cz/v/kasna-1.jpg,49.2030169444,16.5829016667,přístupné
Sluneční hodiny,https://www.kafelanka.cz/mista/hodiny.php,https://www.kafelanka.cz/v/hodiny-2.jpg,49.2042025,16.5840172222,přístupné
Jídelna,https://www.kafelanka.cz/mista/barabizna.php,https://www.kafelanka.cz/v/barabizna-2.jpg,49.2065361111,16.5893158333,přístupné
Komínek,https://www.kafelanka.cz/mista/komin.php,https://www.kafelanka.cz/v/komin-2.jpg,49.2019452778,16.5934380556,přístupné
Vodojem,https://www.kafelanka.cz/mista/sklep.php,https://www.kafelanka.cz/v/sklep-1.jpg,49.2045952778,16.5832538889,přístupné
Pod Topoly,https://www.kafelanka.cz/mista/topoly.php,https://www.kafelanka.cz/v/topoly-1.jpg,49.2040194444,16.5885005556,neexistuje
Podzemí,https://www.kafelanka.cz/mista/vchod.php,https://www.kafelanka.cz/v/vchod-1.jpg,49.2019886111,16.5925883333,přístupné
Sklepení,https://www.kafelanka.cz/mista/sklepeni.php,https://www.kafelanka.cz/v/sklepeni-1.jpg,49.2026869444,16.5859661111,neexistuje
Jeskyňka,https://www.kafelanka.cz/mista/jeskyn.php,https://www.kafelanka.cz/v/jeskyn-1.jpg,49.2035697222,16.5693327778,přístupné
Komínek,https://www.kafelanka.cz/mista/komin2.php,https://www.kafelanka.cz/v/komin2-1.jpg,49.1846472222,16.598375,přístupné
Chladicí věž,https://www.kafelanka.cz/mista/vez.php,https://www.kafelanka.cz/v/vez-1.jpg,49.2198883333,16.6070066667,přístupné
Kašna,https://www.kafelanka.cz/mista/kasna4.php,https://www.kafelanka.cz/v/kasna4-1.jpg,49.19848,16.5977869444,přístupné
Sloup,https://www.kafelanka.cz/mista/sloup.php,https://www.kafelanka.cz/v/sloup-1.jpg,49.2132483333,16.6080683333,přístupné
Retenční nádrž,https://www.kafelanka.cz/mista/stoky.php,https://www.kafelanka.cz/v/stoky-10.jpg,49.2169972222,16.6044444444,přístupné
Zimní stadion,https://www.kafelanka.cz/mista/zimak.php,https://www.kafelanka.cz/v/zimak-13.jpg,49.2107694444,16.6090361111,přístupné
Tramvajová štola,https://www.kafelanka.cz/mista/trstola.php,https://www.kafelanka.cz/v/trstola-1.jpg,49.19251,16.596745,přístupné
Pomník,https://www.kafelanka.cz/mista/pomnik.php,https://www.kafelanka.cz/v/pomnik-1.jpg,49.1942305556,16.6594416667,přístupné
Pozorovatelna,https://www.kafelanka.cz/mista/bunkr3.php,https://www.kafelanka.cz/v/bunkr3-1.jpg,49.19407,16.658785,přístupné
Šatny,https://www.kafelanka.cz/mista/satny.php,https://www.kafelanka.cz/v/satny-1.jpg,49.1973972222,16.6567388889,neexistuje
Ráj bufeťáků,https://www.kafelanka.cz/mista/raj.php,https://www.kafelanka.cz/v/raj-1.jpg,49.2016694444,16.5922222222,přístupné
Kryt,https://www.kafelanka.cz/mista/kryty.php,https://www.kafelanka.cz/v/kryty-1.jpg,49.2048377778,16.58689,přístupné
Kryt,https://www.kafelanka.cz/mista/kryty.php,https://www.kafelanka.cz/v/kryty-7.jpg,49.2045727778,16.5861969444,přístupné
Kryt,https://www.kafelanka.cz/mista/kryty.php,https://www.kafelanka.cz/v/kryty-10.jpg,49.2043677778,16.5858419444,přístupné
Bunkr,https://www.kafelanka.cz/mista/bunkr.php,https://www.kafelanka.cz/v/bunkr-1.jpg,49.2037419444,16.5853627778,přístupné
Měření kvality ovzduší,https://www.kafelanka.cz/mista/stanice.php,https://www.kafelanka.cz/v/stanice-1.jpg,49.1847861111,16.5983138889,přístupné
Fragment chodby,https://www.kafelanka.cz/mista/klenba.php,https://www.kafelanka.cz/v/klenba-1.jpg,49.1863111111,16.5949833333,přístupné
Kašna,https://www.kafelanka.cz/mista/kasna2.php,https://www.kafelanka.cz/v/kasna2-2.jpg,49.2063697222,16.6074077778,přístupné
Pumpa,https://www.kafelanka.cz/mista/pumpa.php,https://www.kafelanka.cz/v/pumpa-1.jpg,49.2070277778,16.6081619444,neexistuje
Pumpa,https://www.kafelanka.cz/mista/pumpa.php,https://www.kafelanka.cz/v/pumpa-3.jpg,49.2068819444,16.6092527778,přístupné
Odlehčovací komora,https://www.kafelanka.cz/mista/stoky.php,https://www.kafelanka.cz/v/stoky-4.jpg,49.2191638889,16.6049888889,přístupné
Trafostanice,https://www.kafelanka.cz/mista/trafo.php,https://www.kafelanka.cz/v/trafo-1.jpg,49.2198555556,16.6072888889,přístupné
Propustek,https://www.kafelanka.cz/mista/propustek2.php,https://www.kafelanka.cz/v/propustek2-1.jpg,49.2227055556,16.6194361111,přístupné
Sklípek,https://www.kafelanka.cz/mista/sklipek2.php,https://www.kafelanka.cz/v/sklipek2-1.jpg,49.2267119444,16.6124297222,přístupné
Retenční nádrž,https://www.kafelanka.cz/mista/prepad.php,https://www.kafelanka.cz/v/prepad-1.jpg,49.2278177778,16.61371,přístupné
Kašna,https://www.kafelanka.cz/mista/kasna3.php,https://www.kafelanka.cz/v/kasna3-1.jpg,49.2176619444,16.6174669444,přístupné
Zídka,https://www.kafelanka.cz/mista/zidka.php,https://www.kafelanka.cz/v/zidka-1.jpg,49.2044944444,16.5795722222,přístupné
Odpad,https://www.kafelanka.cz/mista/odpad3.php,https://www.kafelanka.cz/v/odpad3-1.jpg,49.2020727778,16.5748627778,přístupné
Lavička,https://www.kafelanka.cz/mista/lavicka.php,https://www.kafelanka.cz/v/lavicka-1.jpg,49.2036077778,16.5726677778,přístupné
Roura,https://www.kafelanka.cz/mista/roury.php,https://www.kafelanka.cz/v/roury-2.jpg,49.2008927778,16.5694147222,přístupné
Roura,https://www.kafelanka.cz/mista/roury.php,https://www.kafelanka.cz/v/roury-5.jpg,49.1992519444,16.5689119444,přístupné
Kaplička,https://www.kafelanka.cz/mista/kaplicka.php,https://www.kafelanka.cz/v/kaplicka-2.jpg,49.1985997222,16.56812,přístupné
Kmenová stoka,https://www.kafelanka.cz/mista/kmenovastoka.php,https://www.kafelanka.cz/v/kmenovastoka-1.jpg,49.1987577778,16.567985,přístupné
Sklad,https://www.kafelanka.cz/mista/sklad2.php,https://www.kafelanka.cz/v/sklad2-1.jpg,49.1996677778,16.5679619444,neexistuje
Roura,https://www.kafelanka.cz/mista/roury.php,https://www.kafelanka.cz/v/roury-6.jpg,49.20293,16.5696497222,přístupné
Teplovod,https://www.kafelanka.cz/mista/parovod.php,https://www.kafelanka.cz/v/parovod-1.jpg,49.2034377778,16.5934219444,přístupné
